EMORY GROUP|Location is: EMORY GROUP|3|20:00:00|21:00:00|TEXAS STREET AND HWY 19 NORTH, EMORY, TX 
NO NAME GROUP|Location is: NEXT TO RESTORATION CHURCH|3|12:00:00|13:00:00|1206 W EULESS BLVD, EULESS, TX 76040
NO NAME GROUP|Location is: NEXT TO RESTORATION CHURCH|4|12:00:00|13:00:00|1206 W EULESS BLVD, EULESS, TX 76040
NO NAME GROUP|Location is: NEXT TO RESTORATION CHURCH|5|12:00:00|13:00:00|1206 W EULESS BLVD, EULESS, TX 76040
NO NAME GROUP|Location is: NEXT TO RESTORATION CHURCH|6|12:00:00|13:00:00|1206 W EULESS BLVD, EULESS, TX 76040
NO NAME GROUP|Location is: NEXT TO RESTORATION CHURCH|7|12:00:00|13:00:00|1206 W EULESS BLVD, EULESS, TX 76040
NO NAME GROUP 2|Location is: NEXT TO RESTORATION CHURCH|1|18:00:00|19:00:00|1206 W EULESS BLVD, EULESS, TX 76040
NO NAME GROUP 2|Location is: NEXT TO RESTORATION CHURCH|2|18:00:00|19:00:00|1206 W EULESS BLVD, EULESS, TX 76040
NO NAME GROUP 2|Location is: NEXT TO RESTORATION CHURCH|3|18:00:00|19:00:00|1206 W EULESS BLVD, EULESS, TX 76040
NO NAME GROUP 2|Location is: NEXT TO RESTORATION CHURCH|4|18:00:00|19:00:00|1206 W EULESS BLVD, EULESS, TX 76040
NO NAME GROUP 2|Location is: NEXT TO RESTORATION CHURCH|5|18:00:00|19:00:00|1206 W EULESS BLVD, EULESS, TX 76040
NO NAME GROUP 2|Location is: NEXT TO RESTORATION CHURCH|6|18:00:00|19:00:00|1206 W EULESS BLVD, EULESS, TX 76040
NO NAME GROUP 2|Location is: NEXT TO RESTORATION CHURCH|7|18:00:00|19:00:00|1206 W EULESS BLVD, EULESS, TX 76040
NO NAME GROUP 3|Location is: NEXT TO RESTORATION CHURCH|5|19:00:00|20:00:00|1206 W EULESS BLVD, EULESS, TX 76040
NO NAME GROUP 3|Location is: NEXT TO RESTORATION CHURCH|6|19:00:00|20:00:00|1206 W EULESS BLVD, EULESS, TX 76040
CLEAR CUT DIRECTIONS|Location is: WHITES CHAPEL METHODIST CHURCH|2|09:00:00|10:00:00|185 S WHITE CHAPEL BLVD, SOUTHLAKE, TX 76092
CLEAR CUT DIRECTIONS 7|Location is: WHITES CHAPEL METHODIST CHURCH|7|10:00:00|11:00:00|185 S WHITE CHAPEL BLVD, SOUTHLAKE, TX 76092
CLEAR CUT DIRECTIONS 6|Location is: WHITES CHAPEL METHODIST CHURCH|4|12:00:00|13:00:00|185 S WHITE CHAPEL BLVD, SOUTHLAKE, TX 76092
CLEAR CUT DIRECTIONS 3|Location is: WHITES CHAPEL METHODIST CHURCH|1|19:00:00|20:00:00|185 S WHITE CHAPEL BLVD, SOUTHLAKE, TX 76092
CLEAR CUT DIRECTIONS 3|Location is: WHITES CHAPEL METHODIST CHURCH|2|19:00:00|20:00:00|185 S WHITE CHAPEL BLVD, SOUTHLAKE, TX 76092
CLEAR CUT DIRECTIONS 3|Location is: WHITES CHAPEL METHODIST CHURCH|4|19:00:00|20:00:00|185 S WHITE CHAPEL BLVD, SOUTHLAKE, TX 76092
CLEAR CUT DIRECTIONS 3|Location is: WHITES CHAPEL METHODIST CHURCH|5|19:00:00|20:00:00|185 S WHITE CHAPEL BLVD, SOUTHLAKE, TX 76092
CLEAR CUT DIRECTIONS 3|Location is: WHITES CHAPEL METHODIST CHURCH|6|19:00:00|20:00:00|185 S WHITE CHAPEL BLVD, SOUTHLAKE, TX 76092
CLEAR CUT DIRECTIONS 5|Location is: WHITES CHAPEL METHODIST CHURCH|3|19:30:00|20:30:00|185 S WHITE CHAPEL BLVD, SOUTHLAKE, TX 76092
CLEAR CUT DIRECTIONS 4|Location is: WHITES CHAPEL METHODIST CHURCH|2|null|N/A|185 S WHITE CHAPEL BLVD, SOUTHLAKE, TX 76092
CLEAR CUT DIRECTIONS 4|Location is: WHITES CHAPEL METHODIST CHURCH|6|null|N/A|185 S WHITE CHAPEL BLVD, SOUTHLAKE, TX 76092
CLEAR CUT DIRECTIONS 2|Location is: WHITES CHAPEL METHODIST CHURCH|6|19:00:00|20:00:00|185 S WHITE CHAPEL BLVD, SOUTHLAKE, TX 76092
CLEAR CUT DIRECTIONS 3|Location is: WHITES CHAPEL METHODIST CHURCH|7|10:00:00|11:00:00|185 S WHITE CHAPEL BLVD, SOUTHLAKE, TX 76092
NORTH ARLINGTON GROUP|Location is: NORTH ARLINGTON GROUP|3|20:00:00|21:00:00|2001 BROWN BLVD, ARLINGTON, TX 76006
NORTH ARLINGTON GROUP|Location is: NORTH ARLINGTON GROUP|5|20:00:00|21:00:00|2001 BROWN BLVD, ARLINGTON, TX 76006
the noon group|Location is: austin texas|6|00:00:00|01:00:00|617 Clifford Dr, Austin, TX 78745
Westlake|Location is: South|5|20:00:00|21:00:00|2, austin, TX 
GRUPO AMIGOS SOBRIOS|Location is: OUTREACH COMMUNITY CENTER|4|19:00:00|20:00:00|3035 MUSTANG DR, GRAPEVINE, TX 76051
ARGYLE GROUP|Location is: CROSS TIMBERS CHURCH|3|18:00:00|19:00:00|9119 S HIGHWAY 377, ARGYLE, TX 76226
ARGYLE GROUP|Location is: CROSS TIMBERS CHURCH|5|18:00:00|19:00:00|9119 S HIGHWAY 377, ARGYLE, TX 76226
Argyle|Location is: CROSS TIMBERS CHURCH|3|18:00:00|19:00:00|9119 S HIGHWAY 377, ARGYLE, TX 76226
Argyle|Location is: CROSS TIMBERS CHURCH|5|18:00:00|19:00:00|9119 S HIGHWAY 377, ARGYLE, TX 76226
G.P.A.A|Location is: Grand Prairie Texas|1|11:00:00|12:00:00|Texas 303 Spur, Grand Prairie, TX 75052
Grand Prairie 2|Location is: Grand Prairie|1|null|N/A|921 W Pioneer Pkwy, Grand Prairie, TX 75052
Grand Prairie|Location is: Grand Prairie|1|14:00:00|15:00:00|921 W Pioneer Pkwy, Grand Prairie, TX 75052
Grand Prairie 2|Location is: Grand Prairie|2|null|N/A|921 W Pioneer Pkwy, Grand Prairie, TX 75052
Grand Prairie|Location is: Grand Prairie|2|14:00:00|15:00:00|921 W Pioneer Pkwy, Grand Prairie, TX 75052
Grand Prairie 2|Location is: Grand Prairie|3|null|N/A|921 W Pioneer Pkwy, Grand Prairie, TX 75052
Grand Prairie|Location is: Grand Prairie|3|14:00:00|15:00:00|921 W Pioneer Pkwy, Grand Prairie, TX 75052
Grand Prairie 2|Location is: Grand Prairie|4|null|N/A|921 W Pioneer Pkwy, Grand Prairie, TX 75052
Grand Prairie|Location is: Grand Prairie|4|14:00:00|15:00:00|921 W Pioneer Pkwy, Grand Prairie, TX 75052
Grand Prairie 2|Location is: Grand Prairie|5|null|N/A|921 W Pioneer Pkwy, Grand Prairie, TX 75052
Grand Prairie|Location is: Grand Prairie|5|14:00:00|15:00:00|921 W Pioneer Pkwy, Grand Prairie, TX 75052
Grand Prairie 2|Location is: Grand Prairie|6|null|N/A|921 W Pioneer Pkwy, Grand Prairie, TX 75052
Grand Prairie|Location is: Grand Prairie|6|14:00:00|15:00:00|921 W Pioneer Pkwy, Grand Prairie, TX 75052
Grand Prairie 2|Location is: Grand Prairie|7|null|N/A|921 W Pioneer Pkwy, Grand Prairie, TX 75052
Grand Prairie|Location is: Grand Prairie|7|14:00:00|15:00:00|921 W Pioneer Pkwy, Grand Prairie, TX 75052
GRAPEVINE UNITY 5|Location is: GRAPEVINE UNITY|1|09:00:00|10:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY|Location is: GRAPEVINE UNITY|2|12:00:00|13:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY|Location is: GRAPEVINE UNITY|3|12:00:00|13:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY|Location is: GRAPEVINE UNITY|4|12:00:00|13:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY|Location is: GRAPEVINE UNITY|5|12:00:00|13:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY|Location is: GRAPEVINE UNITY|6|12:00:00|13:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY|Location is: GRAPEVINE UNITY|7|12:00:00|13:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY 2|Location is: GRAPEVINE UNITY|1|18:00:00|19:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY 2|Location is: GRAPEVINE UNITY|2|18:00:00|19:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY 2|Location is: GRAPEVINE UNITY|3|18:00:00|19:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY 2|Location is: GRAPEVINE UNITY|4|18:00:00|19:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY 2|Location is: GRAPEVINE UNITY|5|18:00:00|19:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY 2|Location is: GRAPEVINE UNITY|6|18:00:00|19:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY 2|Location is: GRAPEVINE UNITY|7|18:00:00|19:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY 3|Location is: GRAPEVINE UNITY|1|20:00:00|21:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY 3|Location is: GRAPEVINE UNITY|2|20:00:00|21:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY 3|Location is: GRAPEVINE UNITY|3|20:00:00|21:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY 3|Location is: GRAPEVINE UNITY|4|20:00:00|21:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY 3|Location is: GRAPEVINE UNITY|5|20:00:00|21:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY 3|Location is: GRAPEVINE UNITY|6|20:00:00|21:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY 3|Location is: GRAPEVINE UNITY|7|20:00:00|21:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY 4|Location is: GRAPEVINE UNITY|6|22:00:00|23:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
GRAPEVINE UNITY 4|Location is: GRAPEVINE UNITY|7|22:00:00|23:00:00|1639 W NORTHWEST HWY, GRAPEVINE, TX 76051
Unity 2|Location is: Unity|1|null|N/A|1639 W. Northwest Highway, Grapevine, TX 76051
Unity|Location is: Unity|1|14:00:00|15:00:00|1639 W. Northwest Highway, Grapevine, TX 76051
Unity|Location is: Unity|2|14:00:00|15:00:00|1639 W. Northwest Highway, Grapevine, TX 76051
Unity|Location is: Unity|3|14:00:00|15:00:00|1639 W. Northwest Highway, Grapevine, TX 76051
Unity|Location is: Unity|4|14:00:00|15:00:00|1639 W. Northwest Highway, Grapevine, TX 76051
Unity|Location is: Unity|5|14:00:00|15:00:00|1639 W. Northwest Highway, Grapevine, TX 76051
Unity|Location is: Unity|6|14:00:00|15:00:00|1639 W. Northwest Highway, Grapevine, TX 76051
Unity|Location is: Unity|7|14:00:00|15:00:00|1639 W. Northwest Highway, Grapevine, TX 76051
GRAND PRAIRIE GROUP|Location is: GRAND PRAIRIE GROUP|1|11:00:00|12:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP|Location is: GRAND PRAIRIE GROUP|2|11:00:00|12:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP|Location is: GRAND PRAIRIE GROUP|3|11:00:00|12:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP|Location is: GRAND PRAIRIE GROUP|4|11:00:00|12:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP|Location is: GRAND PRAIRIE GROUP|5|11:00:00|12:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP|Location is: GRAND PRAIRIE GROUP|6|11:00:00|12:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP|Location is: GRAND PRAIRIE GROUP|7|11:00:00|12:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 2|Location is: GRAND PRAIRIE GROUP|1|16:00:00|17:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 2|Location is: GRAND PRAIRIE GROUP|2|16:00:00|17:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 2|Location is: GRAND PRAIRIE GROUP|3|16:00:00|17:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 2|Location is: GRAND PRAIRIE GROUP|4|16:00:00|17:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 2|Location is: GRAND PRAIRIE GROUP|5|16:00:00|17:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 2|Location is: GRAND PRAIRIE GROUP|6|16:00:00|17:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 2|Location is: GRAND PRAIRIE GROUP|7|16:00:00|17:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 3|Location is: GRAND PRAIRIE GROUP|1|18:00:00|19:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 3|Location is: GRAND PRAIRIE GROUP|2|18:00:00|19:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 3|Location is: GRAND PRAIRIE GROUP|3|18:00:00|19:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 3|Location is: GRAND PRAIRIE GROUP|4|18:00:00|19:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 3|Location is: GRAND PRAIRIE GROUP|5|18:00:00|19:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 3|Location is: GRAND PRAIRIE GROUP|6|18:00:00|19:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 3|Location is: GRAND PRAIRIE GROUP|7|18:00:00|19:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 4|Location is: GRAND PRAIRIE GROUP|1|21:00:00|22:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 4|Location is: GRAND PRAIRIE GROUP|2|21:00:00|22:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 4|Location is: GRAND PRAIRIE GROUP|3|21:00:00|22:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 4|Location is: GRAND PRAIRIE GROUP|4|21:00:00|22:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 4|Location is: GRAND PRAIRIE GROUP|5|21:00:00|22:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 4|Location is: GRAND PRAIRIE GROUP|6|21:00:00|22:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
GRAND PRAIRIE GROUP 4|Location is: GRAND PRAIRIE GROUP|7|21:00:00|22:00:00|921 W HIGHWAY 303, GRAND PRAIRIE, TX 
NOCONA GROUP|Location is: NOCONA GROUP|2|20:00:00|21:00:00|206 CLAY, NOCONA, TX 76255
A Daily Reprieve|Location is: RockPointe Church|6|18:30:00|19:30:00|, Flower Mound, TX 
A Daily Reprieve|Location is: RockPointe Church|3|18:30:00|19:30:00|, Flower Mound, TX 
Carry the Message|Location is: Creekwood Christian Church|7|09:00:00|10:00:00|2660 Forest Vista Drive, Flower Mound, TX 75028
CARRY THE MESSAGE|Location is: CREEKWOOD CHRISTIAN CHURCH|2|19:00:00|20:00:00|2600 FOREST VISTA DR, FLOWER MOUND, TX 75028
CARRY THE MESSAGE|Location is: CREEKWOOD CHRISTIAN CHURCH|5|19:00:00|20:00:00|2600 FOREST VISTA DR, FLOWER MOUND, TX 75028
Happy Destiny|Location is: Good Shepherd Lutheran Church|3|14:30:00|15:30:00|2620 W. Grauwyler Road, Irving, TX 75061
No Name 2|Location is: St Luke's Episcopal Church|1|null|N/A|5923 Royal Lane, Euless, TX 75063
No Name|Location is: St Luke's Episcopal Church|1|14:00:00|15:00:00|5923 Royal Lane, Euless, TX 75063
No Name|Location is: St Luke's Episcopal Church|2|14:00:00|15:00:00|5923 Royal Lane, Euless, TX 75063
No Name|Location is: St Luke's Episcopal Church|3|14:00:00|15:00:00|5923 Royal Lane, Euless, TX 75063
No Name|Location is: St Luke's Episcopal Church|4|14:00:00|15:00:00|5923 Royal Lane, Euless, TX 75063
No Name|Location is: St Luke's Episcopal Church|5|14:00:00|15:00:00|5923 Royal Lane, Euless, TX 75063
No Name|Location is: St Luke's Episcopal Church|6|14:00:00|15:00:00|5923 Royal Lane, Euless, TX 75063
No Name|Location is: St Luke's Episcopal Church|7|14:00:00|15:00:00|5923 Royal Lane, Euless, TX 75063
Compass|Location is: South MacArthur Church of Christ|2|14:00:00|15:00:00|1401 S. MacArthur Blvd, Irving, TX 75060
Compass|Location is: South MacArthur Church of Christ|6|14:00:00|15:00:00|1401 S. MacArthur Blvd, Irving, TX 75060
Southwest Clean Air|Location is: First Christian Church|2|19:00:00|20:00:00|203 S Main Street, Duncanville, TX 75116
Southwest Clean Air|Location is: First Christian Church|3|19:00:00|20:00:00|203 S Main Street, Duncanville, TX 75116
Southwest Clean Air|Location is: First Christian Church|5|19:00:00|20:00:00|203 S Main Street, Duncanville, TX 75116
Southwest Clean Air|Location is: First Christian Church|6|19:00:00|20:00:00|203 S Main Street, Duncanville, TX 75116
Southwest Clean Air|Location is: First Christian Church|7|19:00:00|20:00:00|203 S Main Street, Duncanville, TX 75116
Southwest Clean Air|Location is: First Christian Church|4|18:00:00|19:00:00|203 S Main Street, Duncanville, TX 75116
Duncanville 2|Location is: Duncanville|1|null|N/A|223 West Camp Wisdom Rd,, Duncanville, TX 75116
Duncanville AA|Location is: Duncanville AA|1|09:00:00|10:00:00|223 W Camp Wisdom Rd, Duncanville, TX 75116
Duncanville AA|Location is: Duncanville AA|2|12:00:00|13:00:00|223 W Camp Wisdom Rd, Duncanville, TX 75116
Duncanville AA|Location is: Duncanville AA|3|18:00:00|19:00:00|223 W Camp Wisdom Rd, Duncanville, TX 75116
Duncanville AA|Location is: Duncanville AA|4|12:00:00|13:00:00|223 W Camp Wisdom Rd, Duncanville, TX 75116
Duncanville AA|Location is: Duncanville AA|5|18:00:00|19:00:00|223 W Camp Wisdom Rd, Duncanville, TX 75116
Duncanville AA|Location is: Duncanville AA|6|12:00:00|13:00:00|223 W Camp Wisdom Rd, Duncanville, TX 75116
Duncanville 2|Location is: Duncanville|7|null|N/A|223 West Camp Wisdom Rd,, Duncanville, TX 75116
Duncanville AA|Location is: Duncanville AA|7|18:00:00|19:00:00|223 W Camp Wisdom Rd, Duncanville, TX 75116
Waxahachie Group|Location is: Waxahachie|1|07:30:00|08:30:00|301 John Arden, Waxahachie, TX 75165
Waxahachie Group|Location is: Waxahachie|2|07:30:00|08:30:00|301 John Arden, Waxahachie, TX 75165
Waxahachie John Arden group|Location is: Waxahachie|4|12:00:00|13:00:00|301 John Arden, Waxahachie, TX 75165
Waxahachie John Arden group|Location is: Waxahachie|5|12:00:00|13:00:00|301 John Arden, Waxahachie, TX 75165
Waxahachie John Arden group|Location is: Waxahachie|6|12:00:00|13:00:00|301 John Arden, Waxahachie, TX 75165
Waxahachie John Arden group|Location is: Waxahachie|7|12:00:00|13:00:00|301 John Arden, Waxahachie, TX 75165
Waxahachie John Arden group|Location is: Waxahachie|2|12:00:00|13:00:00|301 John Arden, Waxahachie, TX 75165
Waxahachie John Arden group|Location is: Waxahachie|3|12:00:00|13:00:00|301 John Arden, Waxahachie, TX 75165
Waxahachie John Arden group|Location is: Waxahachie|1|12:00:00|13:00:00|301 John Arden, Waxahachie, TX 75165
Waxahachie Group|Location is: Waxahachie|3|07:30:00|08:30:00|301 John Arden, Waxahachie, TX 75165
Waxahachie Group|Location is: Waxahachie|4|07:30:00|08:30:00|301 John Arden, Waxahachie, TX 75165
Waxahachie Group|Location is: Waxahachie|5|07:30:00|08:30:00|301 John Arden, Waxahachie, TX 75165
Waxahachie Group|Location is: Waxahachie|6|07:30:00|08:30:00|301 John Arden, Waxahachie, TX 75165
Waxahachie Group|Location is: Waxahachie|7|07:30:00|08:30:00|301 John Arden, Waxahachie, TX 75165
Waxahachie Group|Location is: Waxahachie|2|20:00:00|21:00:00|301 John Arden Dr., waxahachie, TX 75165
Waxahachie Group|Location is: Waxahachie|3|20:00:00|21:00:00|301 John Arden Dr., waxahachie, TX 75165
Waxahachie Group|Location is: Waxahachie|4|20:00:00|21:00:00|301 John Arden Dr., waxahachie, TX 75165
Waxahachie Group|Location is: Waxahachie|6|20:00:00|21:00:00|301 John Arden Dr., waxahachie, TX 75165
Waxahachie Group|Location is: Waxahachie|7|20:00:00|21:00:00|301 John Arden Dr., waxahachie, TX 75165
Waxahachie Group|Location is: Waxahachie|1|20:00:00|21:00:00|301 John Arden Dr., waxahachie, TX 75165
Serenity Circle|Location is: Lamb of God Lutheran Church|5|20:00:00|21:00:00|1401 Cross Timbers Road, Flower Mound, TX 75028
Simply AA|Location is: First United Methodist Church|3|14:00:00|15:00:00|211 W 3rd St, Irving, TX 75060
Simply AA|Location is: First United Methodist Church|5|14:00:00|15:00:00|211 W 3rd St, Irving, TX 75060
FOURTH DIMENSION YOUNG PEOPLE|Location is: TRINITY UNITED METHODIST CHURCH|1|20:00:00|21:00:00|633 HOBSON LANE, DENTON, TX 76205
FOURTH DIMENSION YOUNG PEOPLE|Location is: TRINITY UNITED METHODIST CHURCH|3|20:00:00|21:00:00|633 HOBSON LANE, DENTON, TX 76205
4th Dimension|Location is: Trinity United Methodist Church|1|14:00:00|15:00:00|633 Hobson Ln, Denton, TX 76205
4th Dimension|Location is: Trinity United Methodist Church|3|14:00:00|15:00:00|633 Hobson Ln, Denton, TX 76205
The Gift of Sobriety|Location is: The Gift of Sobriety|1|09:30:00|10:30:00|1350 Walnut Hill Lane Suite 135, Irving, TX 75038
The Gift of Sobriety|Location is: The Gift of Sobriety|2|18:00:00|19:00:00|1350 Walnut Hill Lane Suite 135, Irving, TX 75038
The Gift of Sobriety|Location is: The Gift of Sobriety|3|19:00:00|20:00:00|1350 Walnut Hill Lane Suite 135, Irving, TX 75038
The Gift of Sobriety|Location is: The Gift of Sobriety|4|18:00:00|19:00:00|1350 Walnut Hill Lane Suite 135, Irving, TX 75038
The Gift of Sobriety|Location is: The Gift of Sobriety|5|18:00:00|19:00:00|1350 Walnut Hill Lane Suite 135, Irving, TX 75038
The Gift of Sobriety|Location is: The Gift of Sobriety|6|18:00:00|19:00:00|1350 Walnut Hill Lane Suite 135, Irving, TX 75038
The Gift of Sobriety|Location is: The Gift of Sobriety|7|12:00:00|13:00:00|1350 Walnut Hill Lane Suite 135, Irving, TX 75038
The Gift of Sobriety 2|Location is: The Gift of Sobriety|1|null|N/A|3501 N MacArthur Blvd, Irving, TX 75062
The Gift of Sobriety 2|Location is: The Gift of Sobriety|2|null|N/A|3501 N MacArthur Blvd, Irving, TX 75062
The Gift of Sobriety 2|Location is: The Gift of Sobriety|3|null|N/A|3501 N MacArthur Blvd, Irving, TX 75062
The Gift of Sobriety 2|Location is: The Gift of Sobriety|4|null|N/A|3501 N MacArthur Blvd, Irving, TX 75062
The Gift of Sobriety 2|Location is: The Gift of Sobriety|5|null|N/A|3501 N MacArthur Blvd, Irving, TX 75062
The Gift of Sobriety 2|Location is: The Gift of Sobriety|6|null|N/A|3501 N MacArthur Blvd, Irving, TX 75062
The Gift of Sobriety 2|Location is: The Gift of Sobriety|7|null|N/A|3501 N MacArthur Blvd, Irving, TX 75062
Unity - Denton|Location is: Unity - Denton|2|14:00:00|15:00:00|1100 Malone St., Denton, TX 76201
Unity - Denton|Location is: Unity - Denton|3|14:00:00|15:00:00|1100 Malone St., Denton, TX 76201
Unity - Denton|Location is: Unity - Denton|5|14:00:00|15:00:00|1100 Malone St., Denton, TX 76201
Irving 3|Location is: Irving|1|14:30:00|15:30:00|618 East Irving Blvd, Irving, TX 75060
Irving|Location is: Irving|2|14:00:00|15:00:00|618 East Irving Blvd, Irving, TX 75060
Irving|Location is: Irving|3|14:00:00|15:00:00|618 East Irving Blvd, Irving, TX 75060
Irving|Location is: Irving|4|14:00:00|15:00:00|618 East Irving Blvd, Irving, TX 75060
Irving|Location is: Irving|5|14:00:00|15:00:00|618 East Irving Blvd, Irving, TX 75060
Irving|Location is: Irving|6|14:00:00|15:00:00|618 East Irving Blvd, Irving, TX 75060
Irving 2|Location is: Irving|7|null|N/A|618 East Irving Blvd, Irving, TX 75060
Irving|Location is: Irving|7|14:00:00|15:00:00|618 East Irving Blvd, Irving, TX 75060
SHOW ME GROUP|Location is: SHOW ME GROUP|2|09:00:00|10:00:00|1622 W UNIVERSITY DRIVE #104, DENTON, TX 
SHOW ME GROUP|Location is: SHOW ME GROUP|3|09:00:00|10:00:00|1622 W UNIVERSITY DRIVE #104, DENTON, TX 
SHOW ME GROUP|Location is: SHOW ME GROUP|4|09:00:00|10:00:00|1622 W UNIVERSITY DRIVE #104, DENTON, TX 
SHOW ME GROUP|Location is: SHOW ME GROUP|5|09:00:00|10:00:00|1622 W UNIVERSITY DRIVE #104, DENTON, TX 
SHOW ME GROUP|Location is: SHOW ME GROUP|6|09:00:00|10:00:00|1622 W UNIVERSITY DRIVE #104, DENTON, TX 
SHOW ME GROUP|Location is: SHOW ME GROUP|7|09:00:00|10:00:00|1622 W UNIVERSITY DRIVE #104, DENTON, TX 
SHOW ME GROUP 6|Location is: SHOW ME GROUP|1|11:00:00|12:00:00|1622 W UNIVERSITY DRIVE #104, DENTON, TX 
SHOW ME GROUP 2|Location is: SHOW ME GROUP|2|12:00:00|13:00:00|1622 W UNIVERSITY DRIVE #104, DENTON, TX 
SHOW ME GROUP 2|Location is: SHOW ME GROUP|3|12:00:00|13:00:00|1622 W UNIVERSITY DRIVE #104, DENTON, TX 
SHOW ME GROUP 2|Location is: SHOW ME GROUP|4|12:00:00|13:00:00|1622 W UNIVERSITY DRIVE #104, DENTON, TX 
SHOW ME GROUP 2|Location is: SHOW ME GROUP|5|12:00:00|13:00:00|1622 W UNIVERSITY DRIVE #104, DENTON, TX 
SHOW ME GROUP 2|Location is: SHOW ME GROUP|6|12:00:00|13:00:00|1622 W UNIVERSITY DRIVE #104, DENTON, TX 
SHOW ME GROUP 2|Location is: SHOW ME GROUP|7|12:00:00|13:00:00|1622 W UNIVERSITY DRIVE #104, DENTON, TX 
SHOW ME GROUP 3|Location is: SHOW ME GROUP|2|18:00:00|19:00:00|1622 W UNIVERSITY DRIVE #104, DENTON, TX 
